Time Bucket (America/Chicago),Casa 7-Mains_A (kWhs)
01/01/2023 00:00:00,0.1216
01/02/2023 00:00:00,0.1956
01/03/2023 00:00:00,0.1079
01/04/2023 00:00:00,0.2192
01/05/2023 00:00:00,0.0818
01/06/2023 00:00:00,0.1383
01/07/2023 00:00:00,0.1141
01/08/2023 00:00:00,0.1796
01/09/2023 00:00:00,0.1984
01/10/2023 00:00:00,0.1359
01/11/2023 00:00:00,0.1025
01/12/2023 00:00:00,0.1176
01/13/2023 00:00:00,0.0586
01/14/2023 00:00:00,0.1074
01/15/2023 00:00:00,0.2403
01/16/2023 00:00:00,0.5540
01/17/2023 00:00:00,0.2245
01/18/2023 00:00:00,0.1359
01/19/2023 00:00:00,0.4382
01/20/2023 00:00:00,0.2280
01/21/2023 00:00:00,0.3899
01/22/2023 00:00:00,0.3974
01/23/2023 00:00:00,0.2974
01/24/2023 00:00:00,0.1366
01/25/2023 00:00:00,0.1952
01/26/2023 00:00:00,0.1221
01/27/2023 00:00:00,0.2546
01/28/2023 00:00:00,0.1839
01/29/2023 00:00:00,0.2173
01/30/2023 00:00:00,0.4718
01/31/2023 00:00:00,0.2433
02/01/2023 00:00:00,0.3662
