Time Bucket (America/Chicago),Casa 7-Mains_A (kWhs)
01/01/2023 00:00:00,0.0012
01/01/2023 01:00:00,0.0013
01/01/2023 02:00:00,0.0067
01/01/2023 03:00:00,0.0000
01/01/2023 04:00:00,0.0019
01/01/2023 05:00:00,0.0002
01/01/2023 06:00:00,0.0004
01/01/2023 07:00:00,0.0001
01/01/2023 08:00:00,0.0000
01/01/2023 09:00:00,0.0005
01/01/2023 10:00:00,0.0103
01/01/2023 11:00:00,0.0011
01/01/2023 12:00:00,0.0001
01/01/2023 13:00:00,0.0000
01/01/2023 14:00:00,0.0000
01/01/2023 15:00:00,0.0000
01/01/2023 16:00:00,0.0000
01/01/2023 17:00:00,0.0000
01/01/2023 18:00:00,0.0102
01/01/2023 19:00:00,0.0244
01/01/2023 20:00:00,0.0214
01/01/2023 21:00:00,0.0109
01/01/2023 22:00:00,0.0280
01/01/2023 23:00:00,0.0028
01/02/2023 00:00:00,0.0000
01/02/2023 01:00:00,0.0002
01/02/2023 02:00:00,0.0001
01/02/2023 03:00:00,0.0001
01/02/2023 04:00:00,0.0001
01/02/2023 05:00:00,0.0001
01/02/2023 06:00:00,0.0781
01/02/2023 07:00:00,0.0041
01/02/2023 08:00:00,0.0053
01/02/2023 09:00:00,0.0001
01/02/2023 10:00:00,0.0002
01/02/2023 11:00:00,0.0041
01/02/2023 12:00:00,0.0020
01/02/2023 13:00:00,0.0004
01/02/2023 14:00:00,0.0006
01/02/2023 15:00:00,0.0011
01/02/2023 16:00:00,0.0000
01/02/2023 17:00:00,0.0001
01/02/2023 18:00:00,0.0000
01/02/2023 19:00:00,0.0001
01/02/2023 20:00:00,0.0463
01/02/2023 21:00:00,0.0212
01/02/2023 22:00:00,0.0152
01/02/2023 23:00:00,0.0162
01/03/2023 00:00:00,0.0000
01/03/2023 01:00:00,0.0002
01/03/2023 02:00:00,0.0001
01/03/2023 03:00:00,0.0000
01/03/2023 04:00:00,0.0000
01/03/2023 05:00:00,0.0002
01/03/2023 06:00:00,0.0059
01/03/2023 07:00:00,0.0002
01/03/2023 08:00:00,0.0015
01/03/2023 09:00:00,0.0027
01/03/2023 10:00:00,0.0060
01/03/2023 11:00:00,0.0031
01/03/2023 12:00:00,0.0001
01/03/2023 13:00:00,0.0009
01/03/2023 14:00:00,0.0032
01/03/2023 15:00:00,0.0001
01/03/2023 16:00:00,0.0000
01/03/2023 17:00:00,0.0000
01/03/2023 18:00:00,0.0000
01/03/2023 19:00:00,0.0000
01/03/2023 20:00:00,0.0095
01/03/2023 21:00:00,0.0422
01/03/2023 22:00:00,0.0276
01/03/2023 23:00:00,0.0042
01/04/2023 00:00:00,0.0000
01/04/2023 01:00:00,0.0000
01/04/2023 02:00:00,0.0000
01/04/2023 03:00:00,0.0000
01/04/2023 04:00:00,0.0002
01/04/2023 05:00:00,0.0000
01/04/2023 06:00:00,0.0023
01/04/2023 07:00:00,0.0002
01/04/2023 08:00:00,0.0000
01/04/2023 09:00:00,0.0008
01/04/2023 10:00:00,0.0206
01/04/2023 11:00:00,0.0159
01/04/2023 12:00:00,0.0428
01/04/2023 13:00:00,0.0057
01/04/2023 14:00:00,0.0058
01/04/2023 15:00:00,0.0005
01/04/2023 16:00:00,0.0014
01/04/2023 17:00:00,0.0000
01/04/2023 18:00:00,0.0000
01/04/2023 19:00:00,0.0099
01/04/2023 20:00:00,0.0200
01/04/2023 21:00:00,0.0346
01/04/2023 22:00:00,0.0474
01/04/2023 23:00:00,0.0110
01/05/2023 00:00:00,0.0065
01/05/2023 01:00:00,0.0006
01/05/2023 02:00:00,0.0001
01/05/2023 03:00:00,0.0000
01/05/2023 04:00:00,0.0001
01/05/2023 05:00:00,0.0002
01/05/2023 06:00:00,0.0026
01/05/2023 07:00:00,0.0083
01/05/2023 08:00:00,0.0036
01/05/2023 09:00:00,0.0003
01/05/2023 10:00:00,0.0004
01/05/2023 11:00:00,0.0000
01/05/2023 12:00:00,0.0002
01/05/2023 13:00:00,0.0010
01/05/2023 14:00:00,0.0029
01/05/2023 15:00:00,0.0001
01/05/2023 16:00:00,0.0000
01/05/2023 17:00:00,0.0000
01/05/2023 18:00:00,0.0000
01/05/2023 19:00:00,0.0000
01/05/2023 20:00:00,0.0001
01/05/2023 21:00:00,0.0035
01/05/2023 22:00:00,0.0258
01/05/2023 23:00:00,0.0255
01/06/2023 00:00:00,0.0040
01/06/2023 01:00:00,0.0007
01/06/2023 02:00:00,0.0007
01/06/2023 03:00:00,0.0000
01/06/2023 04:00:00,0.0002
01/06/2023 05:00:00,0.0001
01/06/2023 06:00:00,0.0103
01/06/2023 07:00:00,0.0018
01/06/2023 08:00:00,0.0001
01/06/2023 09:00:00,0.0008
01/06/2023 10:00:00,0.0012
01/06/2023 11:00:00,0.0041
01/06/2023 12:00:00,0.0003
01/06/2023 13:00:00,0.0012
01/06/2023 14:00:00,0.0000
01/06/2023 15:00:00,0.0000
01/06/2023 16:00:00,0.0000
01/06/2023 17:00:00,0.0001
01/06/2023 18:00:00,0.0002
01/06/2023 19:00:00,0.0017
01/06/2023 20:00:00,0.0101
01/06/2023 21:00:00,0.0385
01/06/2023 22:00:00,0.0392
01/06/2023 23:00:00,0.0227
01/07/2023 00:00:00,0.0227
01/07/2023 01:00:00,0.0227
01/07/2023 02:00:00,0.0080
01/07/2023 03:00:00,0.0000
01/07/2023 04:00:00,0.0000
01/07/2023 05:00:00,0.0000
01/07/2023 06:00:00,0.0000
01/07/2023 07:00:00,0.0001
01/07/2023 08:00:00,0.0022
01/07/2023 09:00:00,0.0062
01/07/2023 10:00:00,0.0041
01/07/2023 11:00:00,0.0028
01/07/2023 12:00:00,0.0013
01/07/2023 13:00:00,0.0008
01/07/2023 14:00:00,0.0001
01/07/2023 15:00:00,0.0006
01/07/2023 16:00:00,0.0030
01/07/2023 17:00:00,0.0000
01/07/2023 18:00:00,0.0000
01/07/2023 19:00:00,0.0000
01/07/2023 20:00:00,0.0000
01/07/2023 21:00:00,0.0001
01/07/2023 22:00:00,0.0240
01/07/2023 23:00:00,0.0152
01/08/2023 00:00:00,0.0079
01/08/2023 01:00:00,0.0000
01/08/2023 02:00:00,0.0000
01/08/2023 03:00:00,0.0014
01/08/2023 04:00:00,0.0000
01/08/2023 05:00:00,0.0162
01/08/2023 06:00:00,0.0135
01/08/2023 07:00:00,0.0058
01/08/2023 08:00:00,0.0000
01/08/2023 09:00:00,0.0064
01/08/2023 10:00:00,0.0098
01/08/2023 11:00:00,0.0011
01/08/2023 12:00:00,0.0041
01/08/2023 13:00:00,0.0001
01/08/2023 14:00:00,0.0000
01/08/2023 15:00:00,0.0002
01/08/2023 16:00:00,0.0012
01/08/2023 17:00:00,0.0000
01/08/2023 18:00:00,0.0111
01/08/2023 19:00:00,0.0355
01/08/2023 20:00:00,0.0293
01/08/2023 21:00:00,0.0315
01/08/2023 22:00:00,0.0043
01/08/2023 23:00:00,0.0001
