Time Bucket (America/Chicago),Casa10-Mains_A (kWhs)
01/01/2023 00:00:00,0.7072
01/02/2023 00:00:00,0.7308
01/03/2023 00:00:00,0.7150
01/04/2023 00:00:00,0.6929
01/05/2023 00:00:00,0.7059
01/06/2023 00:00:00,0.7178
01/07/2023 00:00:00,0.6654
01/08/2023 00:00:00,0.6794
01/09/2023 00:00:00,0.6937
01/10/2023 00:00:00,0.5188
01/11/2023 00:00:00,0.5859
01/12/2023 00:00:00,1.5282
01/13/2023 00:00:00,0.7547
01/14/2023 00:00:00,0.7399
01/15/2023 00:00:00,0.7255
01/16/2023 00:00:00,0.7252
01/17/2023 00:00:00,0.5296
01/18/2023 00:00:00,0.4172
01/19/2023 00:00:00,0.5985
01/20/2023 00:00:00,0.7069
01/21/2023 00:00:00,0.6616
01/22/2023 00:00:00,0.7150
01/23/2023 00:00:00,0.7008
01/24/2023 00:00:00,0.7122
01/25/2023 00:00:00,0.7157
01/26/2023 00:00:00,0.7108
01/27/2023 00:00:00,0.7138
01/28/2023 00:00:00,0.7357
01/29/2023 00:00:00,0.7049
01/30/2023 00:00:00,0.6990
01/31/2023 00:00:00,0.6681
02/01/2023 00:00:00,0.6704
