Time Bucket (America/Chicago),Casa1-Mains_C (kWatts)
01/01/2023 00:00:00,0.0946
01/01/2023 00:15:00,0.0844
01/01/2023 00:30:00,0.0844
01/01/2023 00:45:00,0.1984
01/01/2023 01:00:00,0.1071
01/01/2023 01:15:00,0.1263
01/01/2023 01:30:00,0.2099
01/01/2023 01:45:00,0.1858
01/01/2023 02:00:00,0.1377
01/01/2023 02:15:00,0.1077
01/01/2023 02:30:00,0.1802
01/01/2023 02:45:00,0.0795
01/01/2023 03:00:00,0.0799
01/01/2023 03:15:00,0.0794
01/01/2023 03:30:00,0.0765
01/01/2023 03:45:00,0.0749
01/01/2023 04:00:00,0.1841
01/01/2023 04:15:00,0.2832
01/01/2023 04:30:00,0.1806
01/01/2023 04:45:00,0.0912
01/01/2023 05:00:00,0.0735
01/01/2023 05:15:00,0.0724
01/01/2023 05:30:00,0.0735
01/01/2023 05:45:00,0.1135
01/01/2023 06:00:00,0.1615
01/01/2023 06:15:00,0.0733
01/01/2023 06:30:00,0.0732
01/01/2023 06:45:00,0.0730
01/01/2023 07:00:00,0.2023
01/01/2023 07:15:00,0.1872
01/01/2023 07:30:00,0.1694
01/01/2023 07:45:00,0.1646
01/01/2023 08:00:00,0.0727
01/01/2023 08:15:00,0.0732
01/01/2023 08:30:00,0.0730
01/01/2023 08:45:00,0.0713
01/01/2023 09:00:00,0.0708
01/01/2023 09:15:00,0.1016
01/01/2023 09:30:00,0.1474
01/01/2023 09:45:00,0.0823
01/01/2023 10:00:00,0.1338
01/01/2023 10:15:00,0.1256
01/01/2023 10:30:00,0.1022
01/01/2023 10:45:00,0.0454
01/01/2023 11:00:00,0.2263
01/01/2023 11:15:00,0.3221
01/01/2023 11:30:00,0.2866
01/01/2023 11:45:00,0.2889
01/01/2023 12:00:00,0.1639
01/01/2023 12:15:00,0.1844
01/01/2023 12:30:00,0.4830
01/01/2023 12:45:00,0.3794
01/01/2023 13:00:00,0.1170
01/01/2023 13:15:00,0.0353
01/01/2023 13:30:00,0.0082
01/01/2023 13:45:00,0.0082
01/01/2023 14:00:00,0.0291
01/01/2023 14:15:00,0.1101
01/01/2023 14:30:00,0.0078
01/01/2023 14:45:00,0.0080
01/01/2023 15:00:00,0.0081
01/01/2023 15:15:00,0.0150
01/01/2023 15:30:00,0.1414
01/01/2023 15:45:00,0.1891
01/01/2023 16:00:00,0.1171
01/01/2023 16:15:00,0.0164
01/01/2023 16:30:00,0.0164
01/01/2023 16:45:00,0.0198
01/01/2023 17:00:00,0.0192
01/01/2023 17:15:00,0.0191
01/01/2023 17:30:00,0.1118
01/01/2023 17:45:00,0.0367
01/01/2023 18:00:00,0.0586
01/01/2023 18:15:00,0.1351
01/01/2023 18:30:00,0.1280
01/01/2023 18:45:00,0.0376
01/01/2023 19:00:00,0.1576
01/01/2023 19:15:00,0.2737
01/01/2023 19:30:00,0.1840
01/01/2023 19:45:00,0.1827
01/01/2023 20:00:00,0.1835
01/01/2023 20:15:00,0.1837
01/01/2023 20:30:00,0.2502
01/01/2023 20:45:00,0.3975
01/01/2023 21:00:00,0.3398
01/01/2023 21:15:00,0.1853
01/01/2023 21:30:00,0.1839
01/01/2023 21:45:00,0.1850
01/01/2023 22:00:00,0.1844
01/01/2023 22:15:00,0.2163
01/01/2023 22:30:00,0.2770
01/01/2023 22:45:00,0.1853
01/01/2023 23:00:00,0.2122
01/01/2023 23:15:00,0.2559
01/01/2023 23:30:00,0.2339
01/01/2023 23:45:00,0.1335
01/02/2023 00:00:00,0.2148
01/02/2023 00:15:00,0.1616
01/02/2023 00:30:00,0.1373
01/02/2023 00:45:00,0.1509
01/02/2023 01:00:00,0.1479
01/02/2023 01:15:00,0.1366
01/02/2023 01:30:00,0.1622
01/02/2023 01:45:00,0.3246
01/02/2023 02:00:00,0.2437
01/02/2023 02:15:00,0.1878
01/02/2023 02:30:00,0.1278
01/02/2023 02:45:00,0.1272
01/02/2023 03:00:00,0.1281
01/02/2023 03:15:00,0.2126
01/02/2023 03:30:00,0.1682
01/02/2023 03:45:00,0.1273
01/02/2023 04:00:00,0.1280
01/02/2023 04:15:00,0.1279
01/02/2023 04:30:00,0.2455
01/02/2023 04:45:00,0.2506
01/02/2023 05:00:00,0.2847
01/02/2023 05:15:00,0.1303
01/02/2023 05:30:00,0.1260
01/02/2023 05:45:00,0.1248
01/02/2023 06:00:00,0.1253
01/02/2023 06:15:00,0.1249
01/02/2023 06:30:00,0.1656
01/02/2023 06:45:00,0.2035
01/02/2023 07:00:00,0.0879
01/02/2023 07:15:00,0.1242
01/02/2023 07:30:00,0.1329
01/02/2023 07:45:00,0.0787
01/02/2023 08:00:00,0.0406
01/02/2023 08:15:00,0.1523
