Time Bucket (America/Chicago),Casa1-Mains_C (kWhs)
01/01/2023 00:00:00,3.3290
01/02/2023 00:00:00,3.7267
01/03/2023 00:00:00,3.7057
01/04/2023 00:00:00,2.9267
01/05/2023 00:00:00,3.1177
01/06/2023 00:00:00,2.8604
01/07/2023 00:00:00,3.5425
01/08/2023 00:00:00,3.0326
01/09/2023 00:00:00,3.8782
01/10/2023 00:00:00,2.5879
01/11/2023 00:00:00,2.6017
01/12/2023 00:00:00,2.6387
01/13/2023 00:00:00,2.5440
01/14/2023 00:00:00,3.3034
01/15/2023 00:00:00,2.7260
01/16/2023 00:00:00,2.4080
01/17/2023 00:00:00,2.8139
01/18/2023 00:00:00,3.3017
01/19/2023 00:00:00,3.0942
01/20/2023 00:00:00,2.7738
01/21/2023 00:00:00,2.8453
01/22/2023 00:00:00,2.4874
01/23/2023 00:00:00,2.7832
01/24/2023 00:00:00,3.0407
01/25/2023 00:00:00,2.9966
01/26/2023 00:00:00,3.7772
01/27/2023 00:00:00,3.0952
01/28/2023 00:00:00,9.2566
01/29/2023 00:00:00,4.9441
01/30/2023 00:00:00,4.3516
01/31/2023 00:00:00,3.2409
02/01/2023 00:00:00,3.5223
