Time Bucket (America/Chicago),Casa1-Mains_C (kWhs)
01/01/2023 00:00:00,0.1154
01/01/2023 01:00:00,0.1573
01/01/2023 02:00:00,0.1262
01/01/2023 03:00:00,0.0777
01/01/2023 04:00:00,0.1848
01/01/2023 05:00:00,0.0832
01/01/2023 06:00:00,0.0953
01/01/2023 07:00:00,0.1809
01/01/2023 08:00:00,0.0762
01/01/2023 09:00:00,0.0969
01/01/2023 10:00:00,0.1017
01/01/2023 11:00:00,0.2810
01/01/2023 12:00:00,0.3027
01/01/2023 13:00:00,0.0422
01/01/2023 14:00:00,0.0387
01/01/2023 15:00:00,0.0884
01/01/2023 16:00:00,0.0425
01/01/2023 17:00:00,0.0467
01/01/2023 18:00:00,0.0898
01/01/2023 19:00:00,0.1995
01/01/2023 20:00:00,0.2537
01/01/2023 21:00:00,0.2235
01/01/2023 22:00:00,0.2157
01/01/2023 23:00:00,0.2089
01/02/2023 00:00:00,0.1661
01/02/2023 01:00:00,0.1928
01/02/2023 02:00:00,0.1716
01/02/2023 03:00:00,0.1590
01/02/2023 04:00:00,0.1880
01/02/2023 05:00:00,0.1665
01/02/2023 06:00:00,0.1548
01/02/2023 07:00:00,0.1059
01/02/2023 08:00:00,0.1210
01/02/2023 09:00:00,0.1739
01/02/2023 10:00:00,0.1499
01/02/2023 11:00:00,0.0924
01/02/2023 12:00:00,0.1300
01/02/2023 13:00:00,0.0840
01/02/2023 14:00:00,0.1026
01/02/2023 15:00:00,0.1730
01/02/2023 16:00:00,0.0833
01/02/2023 17:00:00,0.1420
01/02/2023 18:00:00,0.1581
01/02/2023 19:00:00,0.1705
01/02/2023 20:00:00,0.3075
01/02/2023 21:00:00,0.1294
01/02/2023 22:00:00,0.1942
01/02/2023 23:00:00,0.2100
01/03/2023 00:00:00,0.1594
01/03/2023 01:00:00,0.1684
01/03/2023 02:00:00,0.0783
01/03/2023 03:00:00,0.1933
01/03/2023 04:00:00,0.1043
01/03/2023 05:00:00,0.1392
01/03/2023 06:00:00,0.1203
01/03/2023 07:00:00,0.1261
01/03/2023 08:00:00,0.1613
01/03/2023 09:00:00,0.0744
01/03/2023 10:00:00,0.0941
01/03/2023 11:00:00,0.2127
01/03/2023 12:00:00,0.2759
01/03/2023 13:00:00,0.2601
01/03/2023 14:00:00,0.1271
01/03/2023 15:00:00,0.1153
01/03/2023 16:00:00,0.1328
01/03/2023 17:00:00,0.1034
01/03/2023 18:00:00,0.1649
01/03/2023 19:00:00,0.1686
01/03/2023 20:00:00,0.1589
01/03/2023 21:00:00,0.2004
01/03/2023 22:00:00,0.1759
01/03/2023 23:00:00,0.1904
01/04/2023 00:00:00,0.0962
01/04/2023 01:00:00,0.1502
01/04/2023 02:00:00,0.1298
01/04/2023 03:00:00,0.1032
01/04/2023 04:00:00,0.1441
01/04/2023 05:00:00,0.1056
01/04/2023 06:00:00,0.1130
01/04/2023 07:00:00,0.1219
01/04/2023 08:00:00,0.0962
01/04/2023 09:00:00,0.1065
01/04/2023 10:00:00,0.0936
01/04/2023 11:00:00,0.0204
01/04/2023 12:00:00,0.1367
01/04/2023 13:00:00,0.0778
01/04/2023 14:00:00,0.1149
01/04/2023 15:00:00,0.1176
01/04/2023 16:00:00,0.0462
01/04/2023 17:00:00,0.1116
01/04/2023 18:00:00,0.0800
01/04/2023 19:00:00,0.1457
01/04/2023 20:00:00,0.2639
01/04/2023 21:00:00,0.1882
01/04/2023 22:00:00,0.2483
01/04/2023 23:00:00,0.1149
01/05/2023 00:00:00,0.1019
01/05/2023 01:00:00,0.1814
01/05/2023 02:00:00,0.1138
01/05/2023 03:00:00,0.1356
01/05/2023 04:00:00,0.1353
01/05/2023 05:00:00,0.1041
01/05/2023 06:00:00,0.1625
01/05/2023 07:00:00,0.1258
01/05/2023 08:00:00,0.0697
01/05/2023 09:00:00,0.1903
01/05/2023 10:00:00,0.0869
01/05/2023 11:00:00,0.0729
01/05/2023 12:00:00,0.1284
01/05/2023 13:00:00,0.0359
01/05/2023 14:00:00,0.0391
01/05/2023 15:00:00,0.1022
01/05/2023 16:00:00,0.0476
01/05/2023 17:00:00,0.1064
01/05/2023 18:00:00,0.1387
01/05/2023 19:00:00,0.1893
01/05/2023 20:00:00,0.2321
01/05/2023 21:00:00,0.1625
01/05/2023 22:00:00,0.1964
01/05/2023 23:00:00,0.2591
01/06/2023 00:00:00,0.1007
01/06/2023 01:00:00,0.1257
01/06/2023 02:00:00,0.1711
01/06/2023 03:00:00,0.1058
01/06/2023 04:00:00,0.1042
01/06/2023 05:00:00,0.2670
01/06/2023 06:00:00,0.0814
01/06/2023 07:00:00,0.1512
01/06/2023 08:00:00,0.1425
01/06/2023 09:00:00,0.0591
01/06/2023 10:00:00,0.1013
01/06/2023 11:00:00,0.1605
01/06/2023 12:00:00,0.0412
01/06/2023 13:00:00,0.0861
01/06/2023 14:00:00,0.0902
01/06/2023 15:00:00,0.0483
01/06/2023 16:00:00,0.0740
01/06/2023 17:00:00,0.0846
01/06/2023 18:00:00,0.0758
01/06/2023 19:00:00,0.1257
01/06/2023 20:00:00,0.1679
01/06/2023 21:00:00,0.0734
01/06/2023 22:00:00,0.1170
01/06/2023 23:00:00,0.3051
01/07/2023 00:00:00,0.1941
01/07/2023 01:00:00,0.2647
01/07/2023 02:00:00,0.2334
01/07/2023 03:00:00,0.1763
01/07/2023 04:00:00,0.2701
01/07/2023 05:00:00,0.2066
01/07/2023 06:00:00,0.2015
01/07/2023 07:00:00,0.2763
01/07/2023 08:00:00,0.0338
01/07/2023 09:00:00,0.0805
01/07/2023 10:00:00,0.1211
01/07/2023 11:00:00,0.0268
01/07/2023 12:00:00,0.0619
01/07/2023 13:00:00,0.1067
01/07/2023 14:00:00,0.0608
01/07/2023 15:00:00,0.0394
01/07/2023 16:00:00,0.1347
01/07/2023 17:00:00,0.0870
01/07/2023 18:00:00,0.1755
01/07/2023 19:00:00,0.1882
01/07/2023 20:00:00,0.1489
01/07/2023 21:00:00,0.1621
01/07/2023 22:00:00,0.1650
01/07/2023 23:00:00,0.1272
01/08/2023 00:00:00,0.2180
01/08/2023 01:00:00,0.1815
01/08/2023 02:00:00,0.1101
01/08/2023 03:00:00,0.1529
01/08/2023 04:00:00,0.1038
01/08/2023 05:00:00,0.1054
01/08/2023 06:00:00,0.1527
01/08/2023 07:00:00,0.0725
01/08/2023 08:00:00,0.0553
01/08/2023 09:00:00,0.1133
01/08/2023 10:00:00,0.0759
01/08/2023 11:00:00,0.1052
01/08/2023 12:00:00,0.1190
01/08/2023 13:00:00,0.0480
01/08/2023 14:00:00,0.0556
01/08/2023 15:00:00,0.1286
01/08/2023 16:00:00,0.0453
01/08/2023 17:00:00,0.0454
01/08/2023 18:00:00,0.1010
01/08/2023 19:00:00,0.0523
01/08/2023 20:00:00,0.2131
01/08/2023 21:00:00,0.3241
01/08/2023 22:00:00,0.2245
01/08/2023 23:00:00,0.2289
01/09/2023 00:00:00,0.2617
01/09/2023 01:00:00,0.2205
01/09/2023 02:00:00,0.2325
01/09/2023 03:00:00,0.2415
01/09/2023 04:00:00,0.2119
01/09/2023 05:00:00,0.2153
01/09/2023 06:00:00,0.2481
01/09/2023 07:00:00,0.2571
01/09/2023 08:00:00,0.1413
01/09/2023 09:00:00,0.1190
01/09/2023 10:00:00,0.0372
01/09/2023 11:00:00,0.0340
01/09/2023 12:00:00,0.0933
01/09/2023 13:00:00,0.0538
01/09/2023 14:00:00,0.0379
01/09/2023 15:00:00,0.1052
01/09/2023 16:00:00,0.0529
01/09/2023 17:00:00,0.1512
01/09/2023 18:00:00,0.2537
01/09/2023 19:00:00,0.1648
01/09/2023 20:00:00,0.1780
01/09/2023 21:00:00,0.2352
01/09/2023 22:00:00,0.1812
01/09/2023 23:00:00,0.1510
01/10/2023 00:00:00,0.1537
01/10/2023 01:00:00,0.1741
01/10/2023 02:00:00,0.1546
01/10/2023 03:00:00,0.1369
01/10/2023 04:00:00,0.0968
01/10/2023 05:00:00,0.1300
01/10/2023 06:00:00,0.1289
01/10/2023 07:00:00,0.0410
01/10/2023 08:00:00,0.0709
01/10/2023 09:00:00,0.1107
01/10/2023 10:00:00,0.0722
01/10/2023 11:00:00,0.0647
01/10/2023 12:00:00,0.0707
01/10/2023 13:00:00,0.0262
01/10/2023 14:00:00,0.0650
01/10/2023 15:00:00,0.0799
01/10/2023 16:00:00,0.0399
01/10/2023 17:00:00,0.0998
01/10/2023 18:00:00,0.0963
01/10/2023 19:00:00,0.1190
01/10/2023 20:00:00,0.1874
01/10/2023 21:00:00,0.1260
01/10/2023 22:00:00,0.0978
01/10/2023 23:00:00,0.2454
01/11/2023 00:00:00,0.1415
01/11/2023 01:00:00,0.1182
01/11/2023 02:00:00,0.1598
01/11/2023 03:00:00,0.0825
01/11/2023 04:00:00,0.0926
01/11/2023 05:00:00,0.1673
01/11/2023 06:00:00,0.0841
01/11/2023 07:00:00,0.1327
01/11/2023 08:00:00,0.1884
01/11/2023 09:00:00,0.0314
01/11/2023 10:00:00,0.0445
01/11/2023 11:00:00,0.0958
01/11/2023 12:00:00,0.0273
01/11/2023 13:00:00,0.0724
01/11/2023 14:00:00,0.0739
01/11/2023 15:00:00,0.0480
01/11/2023 16:00:00,0.1038
01/11/2023 17:00:00,0.0887
01/11/2023 18:00:00,0.0986
01/11/2023 19:00:00,0.2102
01/11/2023 20:00:00,0.1195
01/11/2023 21:00:00,0.1557
01/11/2023 22:00:00,0.1576
01/11/2023 23:00:00,0.1074
01/12/2023 00:00:00,0.1130
01/12/2023 01:00:00,0.1131
01/12/2023 02:00:00,0.1121
01/12/2023 03:00:00,0.1342
01/12/2023 04:00:00,0.0946
01/12/2023 05:00:00,0.0982
01/12/2023 06:00:00,0.1878
01/12/2023 07:00:00,0.2434
01/12/2023 08:00:00,0.1122
01/12/2023 09:00:00,0.1225
01/12/2023 10:00:00,0.0441
01/12/2023 11:00:00,0.0443
01/12/2023 12:00:00,0.0798
01/12/2023 13:00:00,0.0348
01/12/2023 14:00:00,0.0770
01/12/2023 15:00:00,0.0615
01/12/2023 16:00:00,0.0372
01/12/2023 17:00:00,0.1121
01/12/2023 18:00:00,0.0542
01/12/2023 19:00:00,0.1253
01/12/2023 20:00:00,0.1845
01/12/2023 21:00:00,0.1361
01/12/2023 22:00:00,0.1849
01/12/2023 23:00:00,0.1318
01/13/2023 00:00:00,0.0971
01/13/2023 01:00:00,0.1511
01/13/2023 02:00:00,0.0918
01/13/2023 03:00:00,0.1081
01/13/2023 04:00:00,0.1189
01/13/2023 05:00:00,0.0910
01/13/2023 06:00:00,0.1381
01/13/2023 07:00:00,0.0663
01/13/2023 08:00:00,0.0767
01/13/2023 09:00:00,0.1554
01/13/2023 10:00:00,0.0473
01/13/2023 11:00:00,0.0527
01/13/2023 12:00:00,0.0715
01/13/2023 13:00:00,0.0514
01/13/2023 14:00:00,0.1093
01/13/2023 15:00:00,0.0444
01/13/2023 16:00:00,0.0917
01/13/2023 17:00:00,0.0613
01/13/2023 18:00:00,0.0928
01/13/2023 19:00:00,0.1870
01/13/2023 20:00:00,0.1122
01/13/2023 21:00:00,0.2374
01/13/2023 22:00:00,0.1550
01/13/2023 23:00:00,0.1355
01/14/2023 00:00:00,0.1894
01/14/2023 01:00:00,0.0823
01/14/2023 02:00:00,0.1141
01/14/2023 03:00:00,0.1422
01/14/2023 04:00:00,0.0889
01/14/2023 05:00:00,0.1295
01/14/2023 06:00:00,0.1024
01/14/2023 07:00:00,0.1670
01/14/2023 08:00:00,0.1441
01/14/2023 09:00:00,0.1289
01/14/2023 10:00:00,0.0905
01/14/2023 11:00:00,0.3596
01/14/2023 12:00:00,0.2360
01/14/2023 13:00:00,0.2106
01/14/2023 14:00:00,0.1254
01/14/2023 15:00:00,0.0287
01/14/2023 16:00:00,0.0931
01/14/2023 17:00:00,0.1279
01/14/2023 18:00:00,0.0483
01/14/2023 19:00:00,0.1113
01/14/2023 20:00:00,0.1778
01/14/2023 21:00:00,0.1174
01/14/2023 22:00:00,0.1379
01/14/2023 23:00:00,0.1502
01/15/2023 00:00:00,0.0797
01/15/2023 01:00:00,0.1481
01/15/2023 02:00:00,0.0964
01/15/2023 03:00:00,0.0803
01/15/2023 04:00:00,0.1516
01/15/2023 05:00:00,0.0723
01/15/2023 06:00:00,0.0912
01/15/2023 07:00:00,0.1097
01/15/2023 08:00:00,0.0662
01/15/2023 09:00:00,0.0664
01/15/2023 10:00:00,0.2112
01/15/2023 11:00:00,0.1996
01/15/2023 12:00:00,0.0787
01/15/2023 13:00:00,0.0588
01/15/2023 14:00:00,0.0936
01/15/2023 15:00:00,0.0479
01/15/2023 16:00:00,0.0770
01/15/2023 17:00:00,0.1463
01/15/2023 18:00:00,0.1096
01/15/2023 19:00:00,0.1670
01/15/2023 20:00:00,0.1422
01/15/2023 21:00:00,0.1421
01/15/2023 22:00:00,0.1780
01/15/2023 23:00:00,0.1121
01/16/2023 00:00:00,0.1342
01/16/2023 01:00:00,0.1559
01/16/2023 02:00:00,0.0994
01/16/2023 03:00:00,0.1007
01/16/2023 04:00:00,0.1314
01/16/2023 05:00:00,0.0892
01/16/2023 06:00:00,0.1482
01/16/2023 07:00:00,0.1623
01/16/2023 08:00:00,0.0837
01/16/2023 09:00:00,0.0496
01/16/2023 10:00:00,0.0212
01/16/2023 11:00:00,0.0379
01/16/2023 12:00:00,0.0317
01/16/2023 13:00:00,0.1329
01/16/2023 14:00:00,0.0425
01/16/2023 15:00:00,0.0130
01/16/2023 16:00:00,0.0412
01/16/2023 17:00:00,0.0572
01/16/2023 18:00:00,0.0663
01/16/2023 19:00:00,0.1067
01/16/2023 20:00:00,0.1044
01/16/2023 21:00:00,0.2055
01/16/2023 22:00:00,0.2479
01/16/2023 23:00:00,0.1447
01/17/2023 00:00:00,0.1286
01/17/2023 01:00:00,0.1721
01/17/2023 02:00:00,0.0675
01/17/2023 03:00:00,0.1724
01/17/2023 04:00:00,0.0965
01/17/2023 05:00:00,0.0681
01/17/2023 06:00:00,0.1666
01/17/2023 07:00:00,0.1491
01/17/2023 08:00:00,0.1220
01/17/2023 09:00:00,0.1244
01/17/2023 10:00:00,0.0620
01/17/2023 11:00:00,0.1070
01/17/2023 12:00:00,0.0492
01/17/2023 13:00:00,0.0421
01/17/2023 14:00:00,0.1181
01/17/2023 15:00:00,0.0404
01/17/2023 16:00:00,0.0765
01/17/2023 17:00:00,0.1049
01/17/2023 18:00:00,0.1023
01/17/2023 19:00:00,0.2117
01/17/2023 20:00:00,0.1310
01/17/2023 21:00:00,0.1657
01/17/2023 22:00:00,0.2140
01/17/2023 23:00:00,0.1217
01/18/2023 00:00:00,0.1730
01/18/2023 01:00:00,0.0924
01/18/2023 02:00:00,0.1066
01/18/2023 03:00:00,0.1552
01/18/2023 04:00:00,0.0639
01/18/2023 05:00:00,0.1309
01/18/2023 06:00:00,0.1077
01/18/2023 07:00:00,0.1268
01/18/2023 08:00:00,0.1496
01/18/2023 09:00:00,0.1401
01/18/2023 10:00:00,0.0750
01/18/2023 11:00:00,0.1496
01/18/2023 12:00:00,0.0855
01/18/2023 13:00:00,0.1347
01/18/2023 14:00:00,0.0916
01/18/2023 15:00:00,0.1301
01/18/2023 16:00:00,0.1117
01/18/2023 17:00:00,0.1779
01/18/2023 18:00:00,0.1997
01/18/2023 19:00:00,0.1567
01/18/2023 20:00:00,0.2217
01/18/2023 21:00:00,0.1667
01/18/2023 22:00:00,0.1859
01/18/2023 23:00:00,0.1686
01/19/2023 00:00:00,0.1139
01/19/2023 01:00:00,0.1865
01/19/2023 02:00:00,0.0838
01/19/2023 03:00:00,0.1035
01/19/2023 04:00:00,0.1213
01/19/2023 05:00:00,0.0702
01/19/2023 06:00:00,0.1374
01/19/2023 07:00:00,0.0611
01/19/2023 08:00:00,0.0437
01/19/2023 09:00:00,0.1577
01/19/2023 10:00:00,0.0936
01/19/2023 11:00:00,0.1058
01/19/2023 12:00:00,0.2030
01/19/2023 13:00:00,0.1074
01/19/2023 14:00:00,0.1821
01/19/2023 15:00:00,0.0937
01/19/2023 16:00:00,0.1093
01/19/2023 17:00:00,0.1316
01/19/2023 18:00:00,0.0818
01/19/2023 19:00:00,0.2477
01/19/2023 20:00:00,0.1707
01/19/2023 21:00:00,0.1540
01/19/2023 22:00:00,0.2312
01/19/2023 23:00:00,0.1030
01/20/2023 00:00:00,0.1212
01/20/2023 01:00:00,0.1277
01/20/2023 02:00:00,0.0807
01/20/2023 03:00:00,0.1348
01/20/2023 04:00:00,0.0927
01/20/2023 05:00:00,0.0813
01/20/2023 06:00:00,0.1586
01/20/2023 07:00:00,0.1049
01/20/2023 08:00:00,0.0848
01/20/2023 09:00:00,0.1525
01/20/2023 10:00:00,0.0639
01/20/2023 11:00:00,0.1322
01/20/2023 12:00:00,0.0813
01/20/2023 13:00:00,0.0160
01/20/2023 14:00:00,0.1011
01/20/2023 15:00:00,0.0810
01/20/2023 16:00:00,0.0716
01/20/2023 17:00:00,0.1866
01/20/2023 18:00:00,0.0760
01/20/2023 19:00:00,0.1461
01/20/2023 20:00:00,0.1690
01/20/2023 21:00:00,0.1486
01/20/2023 22:00:00,0.2294
01/20/2023 23:00:00,0.1318
01/21/2023 00:00:00,0.1229
01/21/2023 01:00:00,0.1394
01/21/2023 02:00:00,0.0910
01/21/2023 03:00:00,0.1346
01/21/2023 04:00:00,0.1190
01/21/2023 05:00:00,0.0661
01/21/2023 06:00:00,0.1559
01/21/2023 07:00:00,0.1016
01/21/2023 08:00:00,0.0657
01/21/2023 09:00:00,0.1694
01/21/2023 10:00:00,0.0752
01/21/2023 11:00:00,0.0570
01/21/2023 12:00:00,0.0966
01/21/2023 13:00:00,0.0435
01/21/2023 14:00:00,0.0714
01/21/2023 15:00:00,0.1154
01/21/2023 16:00:00,0.0785
01/21/2023 17:00:00,0.1821
01/21/2023 18:00:00,0.0887
01/21/2023 19:00:00,0.1287
01/21/2023 20:00:00,0.2256
01/21/2023 21:00:00,0.1422
01/21/2023 22:00:00,0.1764
01/21/2023 23:00:00,0.1984
01/22/2023 00:00:00,0.1346
01/22/2023 01:00:00,0.1546
01/22/2023 02:00:00,0.0932
01/22/2023 03:00:00,0.0818
01/22/2023 04:00:00,0.2425
01/22/2023 05:00:00,0.1027
01/22/2023 06:00:00,0.1118
01/22/2023 07:00:00,0.1177
01/22/2023 08:00:00,0.0909
01/22/2023 09:00:00,0.0932
01/22/2023 10:00:00,0.1347
01/22/2023 11:00:00,0.0506
01/22/2023 12:00:00,0.0504
01/22/2023 13:00:00,0.0887
01/22/2023 14:00:00,0.0442
01/22/2023 15:00:00,0.1114
01/22/2023 16:00:00,0.0391
01/22/2023 17:00:00,0.0566
01/22/2023 18:00:00,0.1465
01/22/2023 19:00:00,0.0642
01/22/2023 20:00:00,0.0378
01/22/2023 21:00:00,0.1726
01/22/2023 22:00:00,0.1222
01/22/2023 23:00:00,0.1454
01/23/2023 00:00:00,0.1286
01/23/2023 01:00:00,0.0614
01/23/2023 02:00:00,0.1599
01/23/2023 03:00:00,0.1061
01/23/2023 04:00:00,0.0744
01/23/2023 05:00:00,0.1596
01/23/2023 06:00:00,0.0904
01/23/2023 07:00:00,0.0937
01/23/2023 08:00:00,0.2063
01/23/2023 09:00:00,0.0651
01/23/2023 10:00:00,0.0486
01/23/2023 11:00:00,0.1111
01/23/2023 12:00:00,0.0674
01/23/2023 13:00:00,0.0955
01/23/2023 14:00:00,0.0996
01/23/2023 15:00:00,0.0457
01/23/2023 16:00:00,0.0836
01/23/2023 17:00:00,0.0990
01/23/2023 18:00:00,0.1069
01/23/2023 19:00:00,0.2106
01/23/2023 20:00:00,0.1252
01/23/2023 21:00:00,0.1606
01/23/2023 22:00:00,0.2642
01/23/2023 23:00:00,0.1198
01/24/2023 00:00:00,0.1282
01/24/2023 01:00:00,0.1372
01/24/2023 02:00:00,0.0980
01/24/2023 03:00:00,0.1601
01/24/2023 04:00:00,0.1133
01/24/2023 05:00:00,0.0680
01/24/2023 06:00:00,0.1735
01/24/2023 07:00:00,0.0877
01/24/2023 08:00:00,0.0945
01/24/2023 09:00:00,0.1207
01/24/2023 10:00:00,0.0968
01/24/2023 11:00:00,0.1236
01/24/2023 12:00:00,0.2510
01/24/2023 13:00:00,0.1078
01/24/2023 14:00:00,0.1285
01/24/2023 15:00:00,0.1160
01/24/2023 16:00:00,0.0492
01/24/2023 17:00:00,0.1205
01/24/2023 18:00:00,0.1262
01/24/2023 19:00:00,0.1075
01/24/2023 20:00:00,0.1903
01/24/2023 21:00:00,0.0969
01/24/2023 22:00:00,0.1804
01/24/2023 23:00:00,0.1647
01/25/2023 00:00:00,0.1038
01/25/2023 01:00:00,0.1492
01/25/2023 02:00:00,0.1168
01/25/2023 03:00:00,0.0907
01/25/2023 04:00:00,0.1509
01/25/2023 05:00:00,0.0795
01/25/2023 06:00:00,0.0884
01/25/2023 07:00:00,0.1735
01/25/2023 08:00:00,0.0746
01/25/2023 09:00:00,0.0224
01/25/2023 10:00:00,0.1221
01/25/2023 11:00:00,0.1116
01/25/2023 12:00:00,0.0698
01/25/2023 13:00:00,0.1320
01/25/2023 14:00:00,0.0501
01/25/2023 15:00:00,0.1145
01/25/2023 16:00:00,0.1297
01/25/2023 17:00:00,0.0607
01/25/2023 18:00:00,0.1341
01/25/2023 19:00:00,0.1793
01/25/2023 20:00:00,0.1546
01/25/2023 21:00:00,0.2825
01/25/2023 22:00:00,0.1884
01/25/2023 23:00:00,0.2175
01/26/2023 00:00:00,0.1485
01/26/2023 01:00:00,0.1399
01/26/2023 02:00:00,0.1330
01/26/2023 03:00:00,0.1094
01/26/2023 04:00:00,0.1879
01/26/2023 05:00:00,0.0983
01/26/2023 06:00:00,0.1379
01/26/2023 07:00:00,0.1202
01/26/2023 08:00:00,0.0859
01/26/2023 09:00:00,0.1460
01/26/2023 10:00:00,0.0736
01/26/2023 11:00:00,0.2247
01/26/2023 12:00:00,0.2505
01/26/2023 13:00:00,0.2988
01/26/2023 14:00:00,0.2220
01/26/2023 15:00:00,0.1094
01/26/2023 16:00:00,0.1700
01/26/2023 17:00:00,0.1363
01/26/2023 18:00:00,0.0730
01/26/2023 19:00:00,0.2332
01/26/2023 20:00:00,0.1877
01/26/2023 21:00:00,0.1894
01/26/2023 22:00:00,0.1472
01/26/2023 23:00:00,0.1545
01/27/2023 00:00:00,0.1992
01/27/2023 01:00:00,0.1325
01/27/2023 02:00:00,0.1309
01/27/2023 03:00:00,0.1779
01/27/2023 04:00:00,0.0654
01/27/2023 05:00:00,0.0963
01/27/2023 06:00:00,0.1734
01/27/2023 07:00:00,0.0626
01/27/2023 08:00:00,0.0912
01/27/2023 09:00:00,0.1589
01/27/2023 10:00:00,0.0789
01/27/2023 11:00:00,0.0429
01/27/2023 12:00:00,0.1396
01/27/2023 13:00:00,0.0871
01/27/2023 14:00:00,0.0494
01/27/2023 15:00:00,0.1252
01/27/2023 16:00:00,0.0389
01/27/2023 17:00:00,0.0864
01/27/2023 18:00:00,0.2304
01/27/2023 19:00:00,0.2411
01/27/2023 20:00:00,0.1699
01/27/2023 21:00:00,0.2182
01/27/2023 22:00:00,0.1695
01/27/2023 23:00:00,0.1294
01/28/2023 00:00:00,0.1865
01/28/2023 01:00:00,0.0767
01/28/2023 02:00:00,0.1068
01/28/2023 03:00:00,0.1735
01/28/2023 04:00:00,0.0739
01/28/2023 05:00:00,0.0993
01/28/2023 06:00:00,0.1676
01/28/2023 07:00:00,0.0599
01/28/2023 08:00:00,0.0862
01/28/2023 09:00:00,0.1847
01/28/2023 10:00:00,0.1931
01/28/2023 11:00:00,0.0602
01/28/2023 12:00:00,0.0766
01/28/2023 13:00:00,0.1506
01/28/2023 14:00:00,0.1315
01/28/2023 15:00:00,0.6297
01/28/2023 16:00:00,0.9952
01/28/2023 17:00:00,1.0040
01/28/2023 18:00:00,1.0200
01/28/2023 19:00:00,1.3761
01/28/2023 20:00:00,1.2412
01/28/2023 21:00:00,0.6200
01/28/2023 22:00:00,0.3262
01/28/2023 23:00:00,0.2171
01/29/2023 00:00:00,0.1452
01/29/2023 01:00:00,0.2273
01/29/2023 02:00:00,0.1461
01/29/2023 03:00:00,0.0777
01/29/2023 04:00:00,0.2025
01/29/2023 05:00:00,0.1027
01/29/2023 06:00:00,0.0852
01/29/2023 07:00:00,0.2587
01/29/2023 08:00:00,0.1513
01/29/2023 09:00:00,0.1167
01/29/2023 10:00:00,0.5473
01/29/2023 11:00:00,0.0589
01/29/2023 12:00:00,0.1733
01/29/2023 13:00:00,0.1531
01/29/2023 14:00:00,0.0975
01/29/2023 15:00:00,0.1109
01/29/2023 16:00:00,0.2217
01/29/2023 17:00:00,0.3631
01/29/2023 18:00:00,0.6559
01/29/2023 19:00:00,0.2791
01/29/2023 20:00:00,0.1905
01/29/2023 21:00:00,0.2322
01/29/2023 22:00:00,0.2154
01/29/2023 23:00:00,0.1319
01/30/2023 00:00:00,0.1690
01/30/2023 01:00:00,0.1973
01/30/2023 02:00:00,0.1148
01/30/2023 03:00:00,0.1345
01/30/2023 04:00:00,0.2006
