Time Bucket (America/Chicago),Casa8-Mains_A (kWatts)
03/01/2023 00:00:00,0.0729
03/01/2023 00:15:00,0.0372
03/01/2023 00:30:00,0.0672
03/01/2023 00:45:00,0.0363
03/01/2023 01:00:00,0.0515
03/01/2023 01:15:00,0.0582
03/01/2023 01:30:00,0.0169
03/01/2023 01:45:00,0.0513
03/01/2023 02:00:00,0.0216
03/01/2023 02:15:00,0.0396
03/01/2023 02:30:00,0.0481
03/01/2023 02:45:00,0.0104
03/01/2023 03:00:00,0.0488
03/01/2023 03:15:00,0.0093
03/01/2023 03:30:00,0.0476
03/01/2023 03:45:00,0.0151
03/01/2023 04:00:00,0.2233
03/01/2023 04:15:00,0.6279
03/01/2023 04:30:00,0.5972
03/01/2023 04:45:00,0.6298
03/01/2023 05:00:00,0.6734
03/01/2023 05:15:00,0.7623
03/01/2023 05:30:00,0.7987
03/01/2023 05:45:00,0.2921
03/01/2023 06:00:00,0.0677
03/01/2023 06:15:00,0.0932
03/01/2023 06:30:00,0.2022
03/01/2023 06:45:00,0.1795
03/01/2023 07:00:00,0.1403
03/01/2023 07:15:00,0.0696
03/01/2023 07:30:00,0.0483
03/01/2023 07:45:00,0.0157
03/01/2023 08:00:00,0.0488
03/01/2023 08:15:00,0.0157
03/01/2023 08:30:00,0.0427
03/01/2023 08:45:00,0.0155
03/01/2023 09:00:00,0.0430
03/01/2023 09:15:00,0.0167
03/01/2023 09:30:00,0.0388
03/01/2023 09:45:00,0.0381
03/01/2023 10:00:00,0.0189
03/01/2023 10:15:00,0.0449
03/01/2023 10:30:00,0.0086
03/01/2023 10:45:00,0.0462
03/01/2023 11:00:00,0.0172
03/01/2023 11:15:00,0.0464
03/01/2023 11:30:00,0.0075
03/01/2023 11:45:00,0.0439
03/01/2023 12:00:00,0.0075
03/01/2023 12:15:00,0.0461
03/01/2023 12:30:00,0.0075
03/01/2023 12:45:00,0.0457
03/01/2023 13:00:00,0.0214
03/01/2023 13:15:00,0.0428
03/01/2023 13:30:00,0.0498
03/01/2023 13:45:00,0.0177
03/01/2023 14:00:00,0.0538
03/01/2023 14:15:00,0.0295
03/01/2023 14:30:00,0.0435
03/01/2023 14:45:00,0.0911
03/01/2023 15:00:00,0.0796
03/01/2023 15:15:00,0.0890
03/01/2023 15:30:00,0.0357
03/01/2023 15:45:00,0.0372
03/01/2023 16:00:00,0.0325
03/01/2023 16:15:00,0.0379
03/01/2023 16:30:00,0.0321
03/01/2023 16:45:00,0.0352
03/01/2023 17:00:00,0.0462
03/01/2023 17:15:00,0.0310
03/01/2023 17:30:00,0.0939
03/01/2023 17:45:00,0.1117
03/01/2023 18:00:00,0.1115
03/01/2023 18:15:00,0.0896
03/01/2023 18:30:00,0.0709
03/01/2023 18:45:00,0.0355
03/01/2023 19:00:00,0.0338
03/01/2023 19:15:00,0.0417
03/01/2023 19:30:00,0.0315
03/01/2023 19:45:00,0.0314
03/01/2023 20:00:00,0.0553
03/01/2023 20:15:00,0.1863
03/01/2023 20:30:00,0.3705
03/01/2023 20:45:00,0.4028
03/01/2023 21:00:00,0.3972
03/01/2023 21:15:00,0.3705
03/01/2023 21:30:00,0.3879
03/01/2023 21:45:00,0.4036
03/01/2023 22:00:00,0.3759
03/01/2023 22:15:00,0.4108
03/01/2023 22:30:00,0.4286
03/01/2023 22:45:00,0.4045
03/01/2023 23:00:00,0.4031
03/01/2023 23:15:00,0.3899
03/01/2023 23:30:00,0.3951
03/01/2023 23:45:00,0.3909
03/02/2023 00:00:00,0.3248
03/02/2023 00:15:00,0.3371
03/02/2023 00:30:00,0.1920
03/02/2023 00:45:00,0.0445
03/02/2023 01:00:00,0.0600
03/02/2023 01:15:00,0.0407
03/02/2023 01:30:00,0.0481
03/02/2023 01:45:00,0.0549
03/02/2023 02:00:00,0.0310
03/02/2023 02:15:00,0.0481
03/02/2023 02:30:00,0.0252
03/02/2023 02:45:00,0.0329
03/02/2023 03:00:00,0.0290
03/02/2023 03:15:00,0.0375
03/02/2023 03:30:00,0.0294
03/02/2023 03:45:00,0.0372
03/02/2023 04:00:00,0.5051
03/02/2023 04:15:00,0.6873
03/02/2023 04:30:00,0.7054
03/02/2023 04:45:00,0.7156
03/02/2023 05:00:00,1.1343
03/02/2023 05:15:00,0.4469
03/02/2023 05:30:00,0.3002
03/02/2023 05:45:00,0.6853
03/02/2023 06:00:00,0.0754
03/02/2023 06:15:00,0.0816
03/02/2023 06:30:00,0.0754
03/02/2023 06:45:00,0.1329
03/02/2023 07:00:00,0.0760
03/02/2023 07:15:00,0.0599
03/02/2023 07:30:00,0.0903
03/02/2023 07:45:00,0.0090
03/02/2023 08:00:00,0.0461
03/02/2023 08:15:00,0.0125
03/02/2023 08:30:00,0.0460
03/02/2023 08:45:00,0.0221
03/02/2023 09:00:00,0.0801
03/02/2023 09:15:00,0.0089
03/02/2023 09:30:00,0.0454
03/02/2023 09:45:00,0.0267
03/02/2023 10:00:00,0.0297
03/02/2023 10:15:00,0.0445
03/02/2023 10:30:00,0.0106
03/02/2023 10:45:00,0.0457
03/02/2023 11:00:00,0.2819
03/02/2023 11:15:00,0.5848
03/02/2023 11:30:00,0.5476
03/02/2023 11:45:00,0.6657
03/02/2023 12:00:00,0.6788
03/02/2023 12:15:00,0.7083
03/02/2023 12:30:00,0.2729
03/02/2023 12:45:00,0.0172
03/02/2023 13:00:00,0.1050
03/02/2023 13:15:00,0.0419
03/02/2023 13:30:00,0.0426
03/02/2023 13:45:00,0.0336
03/02/2023 14:00:00,0.0195
03/02/2023 14:15:00,0.0312
03/02/2023 14:30:00,0.0379
03/02/2023 14:45:00,0.0657
03/02/2023 15:00:00,0.0761
03/02/2023 15:15:00,0.0650
03/02/2023 15:30:00,0.0632
03/02/2023 15:45:00,0.0892
03/02/2023 16:00:00,0.0870
03/02/2023 16:15:00,0.0725
03/02/2023 16:30:00,0.0896
03/02/2023 16:45:00,0.0841
03/02/2023 17:00:00,0.1025
03/02/2023 17:15:00,0.0690
03/02/2023 17:30:00,0.0690
03/02/2023 17:45:00,0.0764
03/02/2023 18:00:00,0.0600
03/02/2023 18:15:00,0.0487
03/02/2023 18:30:00,0.0553
03/02/2023 18:45:00,0.1110
03/02/2023 19:00:00,0.2457
03/02/2023 19:15:00,0.3264
03/02/2023 19:30:00,0.3762
03/02/2023 19:45:00,0.3477
03/02/2023 20:00:00,0.4263
03/02/2023 20:15:00,0.4385
03/02/2023 20:30:00,0.4253
03/02/2023 20:45:00,0.4105
03/02/2023 21:00:00,0.4125
03/02/2023 21:15:00,0.4236
03/02/2023 21:30:00,0.4328
03/02/2023 21:45:00,0.4271
03/02/2023 22:00:00,0.4171
03/02/2023 22:15:00,0.4346
03/02/2023 22:30:00,0.4284
03/02/2023 22:45:00,0.4409
03/02/2023 23:00:00,0.3513
03/02/2023 23:15:00,0.2628
03/02/2023 23:30:00,0.2670
03/02/2023 23:45:00,0.2558
03/03/2023 00:00:00,0.0648
03/03/2023 00:15:00,0.0514
03/03/2023 00:30:00,0.0887
03/03/2023 00:45:00,0.0422
03/03/2023 01:00:00,0.0525
03/03/2023 01:15:00,0.0607
03/03/2023 01:30:00,0.0671
03/03/2023 01:45:00,0.0287
03/03/2023 02:00:00,0.0686
03/03/2023 02:15:00,0.0337
03/03/2023 02:30:00,0.0473
03/03/2023 02:45:00,0.0446
03/03/2023 03:00:00,0.0361
03/03/2023 03:15:00,0.0387
03/03/2023 03:30:00,0.0329
03/03/2023 03:45:00,0.0363
03/03/2023 04:00:00,0.0386
03/03/2023 04:15:00,0.0335
03/03/2023 04:30:00,0.5505
03/03/2023 04:45:00,0.6188
03/03/2023 05:00:00,0.6305
03/03/2023 05:15:00,0.6845
03/03/2023 05:30:00,0.5876
03/03/2023 05:45:00,0.6055
03/03/2023 06:00:00,0.0598
03/03/2023 06:15:00,0.0916
03/03/2023 06:30:00,0.0236
03/03/2023 06:45:00,0.0589
03/03/2023 07:00:00,0.0377
03/03/2023 07:15:00,0.0274
03/03/2023 07:30:00,0.0761
03/03/2023 07:45:00,0.0527
03/03/2023 08:00:00,0.0490
03/03/2023 08:15:00,0.0096
03/03/2023 08:30:00,0.3932
03/03/2023 08:45:00,0.0095
03/03/2023 09:00:00,0.0453
03/03/2023 09:15:00,0.0374
03/03/2023 09:30:00,0.0172
03/03/2023 09:45:00,0.0485
03/03/2023 10:00:00,0.0105
03/03/2023 10:15:00,0.0478
03/03/2023 10:30:00,0.0146
03/03/2023 10:45:00,0.0466
03/03/2023 11:00:00,0.0425
03/03/2023 11:15:00,0.0206
03/03/2023 11:30:00,0.0495
03/03/2023 11:45:00,0.0195
03/03/2023 12:00:00,0.0528
03/03/2023 12:15:00,0.0250
03/03/2023 12:30:00,0.0381
03/03/2023 12:45:00,0.0390
03/03/2023 13:00:00,0.0390
03/03/2023 13:15:00,0.0422
03/03/2023 13:30:00,0.0275
03/03/2023 13:45:00,0.0399
03/03/2023 14:00:00,0.0306
03/03/2023 14:15:00,0.0347
03/03/2023 14:30:00,0.0430
03/03/2023 14:45:00,0.0341
03/03/2023 15:00:00,0.0309
03/03/2023 15:15:00,0.0431
03/03/2023 15:30:00,0.0279
03/03/2023 15:45:00,0.0427
03/03/2023 16:00:00,0.0354
03/03/2023 16:15:00,0.0499
03/03/2023 16:30:00,0.1349
03/03/2023 16:45:00,0.1856
03/03/2023 17:00:00,0.1310
03/03/2023 17:15:00,0.1337
03/03/2023 17:30:00,0.1193
03/03/2023 17:45:00,0.2070
03/03/2023 18:00:00,0.1453
03/03/2023 18:15:00,0.1836
03/03/2023 18:30:00,0.0772
03/03/2023 18:45:00,0.0582
03/03/2023 19:00:00,0.1411
03/03/2023 19:15:00,0.2141
03/03/2023 19:30:00,0.3120
03/03/2023 19:45:00,0.3434
03/03/2023 20:00:00,0.3368
03/03/2023 20:15:00,0.3053
03/03/2023 20:30:00,0.3119
03/03/2023 20:45:00,0.3321
03/03/2023 21:00:00,0.3600
03/03/2023 21:15:00,0.3466
03/03/2023 21:30:00,0.3594
03/03/2023 21:45:00,0.3457
03/03/2023 22:00:00,0.3368
03/03/2023 22:15:00,0.2781
03/03/2023 22:30:00,0.2041
03/03/2023 22:45:00,0.0980
03/03/2023 23:00:00,0.3112
03/03/2023 23:15:00,0.4692
03/03/2023 23:30:00,0.4804
03/03/2023 23:45:00,0.1975
03/04/2023 00:00:00,0.1913
03/04/2023 00:15:00,0.1885
03/04/2023 00:30:00,0.1889
03/04/2023 00:45:00,0.1897
03/04/2023 01:00:00,0.1897
03/04/2023 01:15:00,0.1861
03/04/2023 01:30:00,0.1864
03/04/2023 01:45:00,0.1877
03/04/2023 02:00:00,0.1880
03/04/2023 02:15:00,0.1884
03/04/2023 02:30:00,0.1887
03/04/2023 02:45:00,0.1875
03/04/2023 03:00:00,0.1863
03/04/2023 03:15:00,0.1870
03/04/2023 03:30:00,0.1875
03/04/2023 03:45:00,0.0912
03/04/2023 04:00:00,0.0235
03/04/2023 04:15:00,0.0217
03/04/2023 04:30:00,0.0225
03/04/2023 04:45:00,0.0227
03/04/2023 05:00:00,0.0186
03/04/2023 05:15:00,0.0751
03/04/2023 05:30:00,0.0217
03/04/2023 05:45:00,0.0569
03/04/2023 06:00:00,0.7078
03/04/2023 06:15:00,0.6680
03/04/2023 06:30:00,0.6476
03/04/2023 06:45:00,0.6060
03/04/2023 07:00:00,0.6854
03/04/2023 07:15:00,0.6504
03/04/2023 07:30:00,0.8017
03/04/2023 07:45:00,0.6770
03/04/2023 08:00:00,0.6347
03/04/2023 08:15:00,0.5151
03/04/2023 08:30:00,0.0961
03/04/2023 08:45:00,0.1244
03/04/2023 09:00:00,0.0749
03/04/2023 09:15:00,0.0284
03/04/2023 09:30:00,0.0511
03/04/2023 09:45:00,0.0361
03/04/2023 10:00:00,0.0469
03/04/2023 10:15:00,0.0425
03/04/2023 10:30:00,0.0420
03/04/2023 10:45:00,0.1158
03/04/2023 11:00:00,0.0738
03/04/2023 11:15:00,0.1246
03/04/2023 11:30:00,0.1251
03/04/2023 11:45:00,0.2039
03/04/2023 12:00:00,0.1068
03/04/2023 12:15:00,0.0614
03/04/2023 12:30:00,0.0949
03/04/2023 12:45:00,0.0484
03/04/2023 13:00:00,0.1033
03/04/2023 13:15:00,0.0490
03/04/2023 13:30:00,0.1008
03/04/2023 13:45:00,0.0853
03/04/2023 14:00:00,0.0668
03/04/2023 14:15:00,0.0940
03/04/2023 14:30:00,0.0395
03/04/2023 14:45:00,0.2870
03/04/2023 15:00:00,0.2663
03/04/2023 15:15:00,0.2329
03/04/2023 15:30:00,0.1667
03/04/2023 15:45:00,0.0671
03/04/2023 16:00:00,0.0923
03/04/2023 16:15:00,0.2253
03/04/2023 16:30:00,0.2143
03/04/2023 16:45:00,0.1932
03/04/2023 17:00:00,0.2565
03/04/2023 17:15:00,0.2111
03/04/2023 17:30:00,0.1468
03/04/2023 17:45:00,0.0525
03/04/2023 18:00:00,0.0376
03/04/2023 18:15:00,0.0424
03/04/2023 18:30:00,0.0486
03/04/2023 18:45:00,0.0640
03/04/2023 19:00:00,0.1450
03/04/2023 19:15:00,0.2257
03/04/2023 19:30:00,0.2243
03/04/2023 19:45:00,0.2702
03/04/2023 20:00:00,0.5076
03/04/2023 20:15:00,0.4984
03/04/2023 20:30:00,0.5327
03/04/2023 20:45:00,0.5168
03/04/2023 21:00:00,0.4729
03/04/2023 21:15:00,0.4414
03/04/2023 21:30:00,0.3968
03/04/2023 21:45:00,0.3284
03/04/2023 22:00:00,0.2494
03/04/2023 22:15:00,0.2326
03/04/2023 22:30:00,0.2345
03/04/2023 22:45:00,0.2526
03/04/2023 23:00:00,0.2550
03/04/2023 23:15:00,0.2757
03/04/2023 23:30:00,0.2443
03/04/2023 23:45:00,0.2498
03/05/2023 00:00:00,0.2608
03/05/2023 00:15:00,0.2740
03/05/2023 00:30:00,0.2934
03/05/2023 00:45:00,0.2701
03/05/2023 01:00:00,0.2497
03/05/2023 01:15:00,0.2267
03/05/2023 01:30:00,0.2172
03/05/2023 01:45:00,0.2322
03/05/2023 02:00:00,0.2266
03/05/2023 02:15:00,0.2146
03/05/2023 02:30:00,0.2244
03/05/2023 02:45:00,0.2190
03/05/2023 03:00:00,0.2178
03/05/2023 03:15:00,0.2244
03/05/2023 03:30:00,0.2198
03/05/2023 03:45:00,0.2132
03/05/2023 04:00:00,0.2286
03/05/2023 04:15:00,0.1219
03/05/2023 04:30:00,0.1440
03/05/2023 04:45:00,0.0574
03/05/2023 05:00:00,0.0982
03/05/2023 05:15:00,0.2451
03/05/2023 05:30:00,0.3240
03/05/2023 05:45:00,0.3307
03/05/2023 06:00:00,0.1971
03/05/2023 06:15:00,0.2137
03/05/2023 06:30:00,0.1490
03/05/2023 06:45:00,0.1255
03/05/2023 07:00:00,0.2076
03/05/2023 07:15:00,0.1019
03/05/2023 07:30:00,0.1440
03/05/2023 07:45:00,0.0904
03/05/2023 08:00:00,0.0935
03/05/2023 08:15:00,0.0216
03/05/2023 08:30:00,0.0553
03/05/2023 08:45:00,0.0107
03/05/2023 09:00:00,0.0949
03/05/2023 09:15:00,0.0210
03/05/2023 09:30:00,0.0695
03/05/2023 09:45:00,0.0407
03/05/2023 10:00:00,0.0387
03/05/2023 10:15:00,0.0664
03/05/2023 10:30:00,0.0131
03/05/2023 10:45:00,0.0596
03/05/2023 11:00:00,0.0321
03/05/2023 11:15:00,0.0625
03/05/2023 11:30:00,0.1257
03/05/2023 11:45:00,0.0734
03/05/2023 12:00:00,0.1013
03/05/2023 12:15:00,0.1084
03/05/2023 12:30:00,0.1426
03/05/2023 12:45:00,0.1331
03/05/2023 13:00:00,0.2022
03/05/2023 13:15:00,0.0923
03/05/2023 13:30:00,0.1617
03/05/2023 13:45:00,0.1911
03/05/2023 14:00:00,0.1879
03/05/2023 14:15:00,0.1244
03/05/2023 14:30:00,0.1732
03/05/2023 14:45:00,0.1751
03/05/2023 15:00:00,0.1663
03/05/2023 15:15:00,0.1988
03/05/2023 15:30:00,0.0444
03/05/2023 15:45:00,0.1186
03/05/2023 16:00:00,0.1251
03/05/2023 16:15:00,0.0861
03/05/2023 16:30:00,0.1340
03/05/2023 16:45:00,0.1515
03/05/2023 17:00:00,0.1599
03/05/2023 17:15:00,0.0623
03/05/2023 17:30:00,0.0586
03/05/2023 17:45:00,0.0581
03/05/2023 18:00:00,0.0526
03/05/2023 18:15:00,0.0891
03/05/2023 18:30:00,0.0601
03/05/2023 18:45:00,0.0280
03/05/2023 19:00:00,0.0724
03/05/2023 19:15:00,0.0454
03/05/2023 19:30:00,0.0389
03/05/2023 19:45:00,0.0725
03/05/2023 20:00:00,0.0079
