Time Bucket (America/Chicago),Casa8-Mains_A (kWhs)
03/01/2023 00:00:00,0.0534
03/01/2023 01:00:00,0.0445
03/01/2023 02:00:00,0.0299
03/01/2023 03:00:00,0.0302
03/01/2023 04:00:00,0.5196
03/01/2023 05:00:00,0.6316
03/01/2023 06:00:00,0.1356
03/01/2023 07:00:00,0.0685
03/01/2023 08:00:00,0.0307
03/01/2023 09:00:00,0.0342
03/01/2023 10:00:00,0.0296
03/01/2023 11:00:00,0.0287
03/01/2023 12:00:00,0.0267
03/01/2023 13:00:00,0.0329
03/01/2023 14:00:00,0.0545
03/01/2023 15:00:00,0.0604
03/01/2023 16:00:00,0.0344
03/01/2023 17:00:00,0.0707
03/01/2023 18:00:00,0.0769
03/01/2023 19:00:00,0.0346
03/01/2023 20:00:00,0.2537
03/01/2023 21:00:00,0.3898
03/01/2023 22:00:00,0.4050
03/01/2023 23:00:00,0.3948
03/02/2023 00:00:00,0.2246
03/02/2023 01:00:00,0.0509
03/02/2023 02:00:00,0.0343
03/02/2023 03:00:00,0.0333
03/02/2023 04:00:00,0.6533
03/02/2023 05:00:00,0.6417
03/02/2023 06:00:00,0.0914
03/02/2023 07:00:00,0.0588
03/02/2023 08:00:00,0.0317
03/02/2023 09:00:00,0.0403
03/02/2023 10:00:00,0.0326
03/02/2023 11:00:00,0.5200
03/02/2023 12:00:00,0.4193
03/02/2023 13:00:00,0.0558
03/02/2023 14:00:00,0.0386
03/02/2023 15:00:00,0.0734
03/02/2023 16:00:00,0.0833
03/02/2023 17:00:00,0.0792
03/02/2023 18:00:00,0.0688
03/02/2023 19:00:00,0.3240
03/02/2023 20:00:00,0.4252
03/02/2023 21:00:00,0.4240
03/02/2023 22:00:00,0.4303
03/02/2023 23:00:00,0.2842
03/03/2023 00:00:00,0.0618
03/03/2023 01:00:00,0.0523
03/03/2023 02:00:00,0.0485
03/03/2023 03:00:00,0.0360
03/03/2023 04:00:00,0.3104
03/03/2023 05:00:00,0.6270
03/03/2023 06:00:00,0.0585
03/03/2023 07:00:00,0.0485
03/03/2023 08:00:00,0.1153
03/03/2023 09:00:00,0.0371
03/03/2023 10:00:00,0.0299
03/03/2023 11:00:00,0.0330
03/03/2023 12:00:00,0.0387
03/03/2023 13:00:00,0.0371
03/03/2023 14:00:00,0.0356
03/03/2023 15:00:00,0.0361
03/03/2023 16:00:00,0.1015
03/03/2023 17:00:00,0.1477
03/03/2023 18:00:00,0.1161
03/03/2023 19:00:00,0.2527
03/03/2023 20:00:00,0.3215
03/03/2023 21:00:00,0.3529
03/03/2023 22:00:00,0.2293
03/03/2023 23:00:00,0.3646
03/04/2023 00:00:00,0.1896
03/04/2023 01:00:00,0.1875
03/04/2023 02:00:00,0.1882
03/04/2023 03:00:00,0.1630
03/04/2023 04:00:00,0.0226
03/04/2023 05:00:00,0.0431
03/04/2023 06:00:00,0.6574
03/04/2023 07:00:00,0.7036
03/04/2023 08:00:00,0.3426
03/04/2023 09:00:00,0.0476
03/04/2023 10:00:00,0.0618
03/04/2023 11:00:00,0.1319
03/04/2023 12:00:00,0.0779
03/04/2023 13:00:00,0.0846
03/04/2023 14:00:00,0.1218
03/04/2023 15:00:00,0.1833
03/04/2023 16:00:00,0.1813
03/04/2023 17:00:00,0.1667
03/04/2023 18:00:00,0.0482
03/04/2023 19:00:00,0.2163
03/04/2023 20:00:00,0.5139
03/04/2023 21:00:00,0.4099
03/04/2023 22:00:00,0.2423
03/04/2023 23:00:00,0.2562
03/05/2023 00:00:00,0.2746
03/05/2023 01:00:00,0.2315
03/05/2023 02:00:00,0.2211
03/05/2023 03:00:00,0.2188
03/05/2023 04:00:00,0.1380
03/05/2023 05:00:00,0.2495
03/05/2023 06:00:00,0.1713
03/05/2023 07:00:00,0.1360
03/05/2023 08:00:00,0.0453
03/05/2023 09:00:00,0.0565
03/05/2023 10:00:00,0.0445
03/05/2023 11:00:00,0.0735
03/05/2023 12:00:00,0.1213
03/05/2023 13:00:00,0.1618
03/05/2023 14:00:00,0.1651
03/05/2023 15:00:00,0.1320
03/05/2023 16:00:00,0.1242
03/05/2023 17:00:00,0.0847
03/05/2023 18:00:00,0.0574
03/05/2023 19:00:00,0.0573
03/05/2023 20:00:00,0.0386
03/05/2023 21:00:00,0.3423
03/05/2023 22:00:00,0.4216
03/05/2023 23:00:00,0.4593
03/06/2023 00:00:00,0.1080
03/06/2023 01:00:00,0.0458
03/06/2023 02:00:00,0.0418
03/06/2023 03:00:00,0.0458
03/06/2023 04:00:00,0.0479
03/06/2023 05:00:00,0.1203
03/06/2023 06:00:00,0.1217
03/06/2023 07:00:00,0.0534
03/06/2023 08:00:00,0.0384
03/06/2023 09:00:00,0.0357
03/06/2023 10:00:00,0.0398
03/06/2023 11:00:00,0.0480
03/06/2023 12:00:00,0.0652
03/06/2023 13:00:00,0.1490
03/06/2023 14:00:00,0.1275
03/06/2023 15:00:00,0.0877
03/06/2023 16:00:00,0.0425
03/06/2023 17:00:00,0.0500
03/06/2023 18:00:00,0.0801
03/06/2023 19:00:00,0.4091
03/06/2023 20:00:00,0.4367
03/06/2023 21:00:00,0.4103
03/06/2023 22:00:00,0.3589
03/06/2023 23:00:00,0.1225
03/07/2023 00:00:00,0.0672
03/07/2023 01:00:00,0.0698
03/07/2023 02:00:00,0.0506
03/07/2023 03:00:00,0.0481
03/07/2023 04:00:00,0.5973
03/07/2023 05:00:00,0.6230
03/07/2023 06:00:00,0.0857
03/07/2023 07:00:00,0.0520
03/07/2023 08:00:00,0.1717
03/07/2023 09:00:00,0.0575
03/07/2023 10:00:00,0.0416
03/07/2023 11:00:00,0.0405
03/07/2023 12:00:00,0.0371
03/07/2023 13:00:00,0.0329
03/07/2023 14:00:00,0.0423
03/07/2023 15:00:00,0.0821
03/07/2023 16:00:00,0.0722
03/07/2023 17:00:00,0.1121
03/07/2023 18:00:00,0.2206
03/07/2023 19:00:00,0.3303
03/07/2023 20:00:00,0.3421
03/07/2023 21:00:00,0.4049
03/07/2023 22:00:00,0.4300
03/07/2023 23:00:00,0.3392
03/08/2023 00:00:00,0.1033
03/08/2023 01:00:00,0.0406
03/08/2023 02:00:00,0.0413
03/08/2023 03:00:00,0.0371
03/08/2023 04:00:00,0.6011
03/08/2023 05:00:00,0.3154
03/08/2023 06:00:00,0.0388
03/08/2023 07:00:00,0.0741
03/08/2023 08:00:00,0.1450
03/08/2023 09:00:00,0.2095
03/08/2023 10:00:00,0.1190
03/08/2023 11:00:00,0.0729
03/08/2023 12:00:00,0.0993
03/08/2023 13:00:00,0.1430
03/08/2023 14:00:00,0.6114
03/08/2023 15:00:00,0.2712
03/08/2023 16:00:00,0.0850
03/08/2023 17:00:00,0.0848
03/08/2023 18:00:00,0.1141
03/08/2023 19:00:00,0.2078
03/08/2023 20:00:00,0.2634
03/08/2023 21:00:00,0.4013
03/08/2023 22:00:00,0.4509
03/08/2023 23:00:00,0.4084
03/09/2023 00:00:00,0.0689
03/09/2023 01:00:00,0.0452
03/09/2023 02:00:00,0.0345
03/09/2023 03:00:00,0.0371
03/09/2023 04:00:00,0.6001
03/09/2023 05:00:00,0.6972
03/09/2023 06:00:00,0.1656
03/09/2023 07:00:00,0.0546
03/09/2023 08:00:00,0.0402
03/09/2023 09:00:00,0.0472
03/09/2023 10:00:00,0.0411
03/09/2023 11:00:00,0.0355
03/09/2023 12:00:00,0.0400
03/09/2023 13:00:00,0.0478
03/09/2023 14:00:00,0.0627
03/09/2023 15:00:00,0.0903
03/09/2023 16:00:00,0.1206
03/09/2023 17:00:00,0.1044
03/09/2023 18:00:00,0.1178
03/09/2023 19:00:00,0.5963
03/09/2023 20:00:00,0.7739
03/09/2023 21:00:00,0.3145
03/09/2023 22:00:00,0.0913
03/09/2023 23:00:00,0.0623
03/10/2023 00:00:00,0.0490
03/10/2023 01:00:00,0.0425
03/10/2023 02:00:00,0.0424
03/10/2023 03:00:00,0.0388
03/10/2023 04:00:00,0.4226
03/10/2023 05:00:00,0.1895
03/10/2023 06:00:00,0.0844
03/10/2023 07:00:00,0.0848
03/10/2023 08:00:00,0.0564
03/10/2023 09:00:00,0.0345
03/10/2023 10:00:00,0.1567
03/10/2023 11:00:00,0.0873
03/10/2023 12:00:00,0.0374
03/10/2023 13:00:00,0.0461
03/10/2023 14:00:00,0.0549
03/10/2023 15:00:00,0.0762
03/10/2023 16:00:00,0.0606
03/10/2023 17:00:00,0.1067
03/10/2023 18:00:00,0.1418
03/10/2023 19:00:00,0.2984
03/10/2023 20:00:00,0.2971
03/10/2023 21:00:00,0.2504
03/10/2023 22:00:00,0.2316
03/10/2023 23:00:00,0.2457
03/11/2023 00:00:00,0.2648
03/11/2023 01:00:00,0.0510
03/11/2023 02:00:00,0.0556
03/11/2023 03:00:00,0.0351
03/11/2023 04:00:00,0.0573
03/11/2023 05:00:00,0.1858
03/11/2023 06:00:00,0.3280
03/11/2023 07:00:00,0.6067
03/11/2023 08:00:00,0.0462
03/11/2023 09:00:00,0.0468
03/11/2023 10:00:00,0.0488
03/11/2023 11:00:00,0.0363
03/11/2023 12:00:00,0.0417
03/11/2023 13:00:00,0.5902
03/11/2023 14:00:00,0.1181
03/11/2023 15:00:00,0.0813
