Time Bucket (America/Chicago),Casa10-Mains_A (kWhs)
03/01/2023 00:00:00,0.0296
03/01/2023 01:00:00,0.0298
03/01/2023 02:00:00,0.0301
03/01/2023 03:00:00,0.0305
03/01/2023 04:00:00,0.0303
03/01/2023 05:00:00,0.0302
03/01/2023 06:00:00,0.0299
03/01/2023 07:00:00,0.0269
03/01/2023 08:00:00,0.0310
03/01/2023 09:00:00,0.0297
03/01/2023 10:00:00,0.0312
03/01/2023 11:00:00,0.0295
03/01/2023 12:00:00,0.0300
03/01/2023 13:00:00,0.0291
03/01/2023 14:00:00,0.0287
03/01/2023 15:00:00,0.0284
03/01/2023 16:00:00,0.0236
03/01/2023 17:00:00,0.0286
03/01/2023 18:00:00,0.0290
03/01/2023 19:00:00,0.0291
03/01/2023 20:00:00,0.0293
03/01/2023 21:00:00,0.0293
03/01/2023 22:00:00,0.0296
03/01/2023 23:00:00,0.0297
03/02/2023 00:00:00,0.0297
03/02/2023 01:00:00,0.0295
03/02/2023 02:00:00,0.0298
03/02/2023 03:00:00,0.0299
03/02/2023 04:00:00,0.0301
03/02/2023 05:00:00,0.0304
03/02/2023 06:00:00,0.0308
03/02/2023 07:00:00,0.0301
03/02/2023 08:00:00,0.0300
03/02/2023 09:00:00,0.0298
03/02/2023 10:00:00,0.0296
03/02/2023 11:00:00,0.0292
03/02/2023 12:00:00,0.0291
03/02/2023 13:00:00,0.0288
03/02/2023 14:00:00,0.0286
03/02/2023 15:00:00,0.0289
03/02/2023 16:00:00,0.0286
03/02/2023 17:00:00,0.0283
03/02/2023 18:00:00,0.0288
03/02/2023 19:00:00,0.0294
03/02/2023 20:00:00,0.0290
03/02/2023 21:00:00,0.0287
03/02/2023 22:00:00,0.0288
03/02/2023 23:00:00,0.0292
03/03/2023 00:00:00,0.0298
03/03/2023 01:00:00,0.0296
03/03/2023 02:00:00,0.0297
03/03/2023 03:00:00,0.0296
03/03/2023 04:00:00,0.0292
03/03/2023 05:00:00,0.0296
03/03/2023 06:00:00,0.0299
03/03/2023 07:00:00,0.0300
03/03/2023 08:00:00,0.0306
03/03/2023 09:00:00,0.0304
03/03/2023 10:00:00,0.0302
03/03/2023 11:00:00,0.0301
03/03/2023 12:00:00,0.0301
03/03/2023 13:00:00,0.0289
03/03/2023 14:00:00,0.0283
03/03/2023 15:00:00,0.0286
03/03/2023 16:00:00,0.0284
03/03/2023 17:00:00,0.0290
03/03/2023 18:00:00,0.0295
